e,b,pAB,pAB_err,pBB,pBB_err
0.001,44.0,0.05571341587172722,0.0023106040171027463,0.010757052973411813,0.0010391825752360097
0.001,46.0,0.05238046898792001,0.0022447166780750973,0.007613440259872094,0.0008757713822025886
0.001,48.0,0.055420219244823384,0.002305107802179104,0.008221680876979293,0.0009097570113972634
0.001,50.0,0.053121521805119906,0.0022559942016158155,0.006576950318729131,0.0008130832214017412
0.001,52.0,0.045588384607574375,0.0021018363136974393,0.005888922733272414,0.000770973260716194
0.001,54.0,0.040721231766612645,0.0019892084527364786,0.006786871961102107,0.0008263299242114231
0.001,56.0,0.03961499493414387,0.001963332751332044,0.004964539007092199,0.0007074571929037203
0.001,58.0,0.03620322482506845,0.0018810740128918052,0.004766250887333942,0.0006935703479710769
0.001,60.0,0.032820097244732574,0.0017931680420371298,0.0051661264181523505,0.0007215313797806065
0.001,62.0,0.03160890334383575,0.0017638214828951055,0.00386218111596707,0.0006253174555495102
0.001,64.0,0.03029995946493717,0.0017255405126917326,0.004762869882448318,0.0006930795316733005
0.001,66.0,0.023903575407677503,0.0015372808792845022,0.002937303757723083,0.0005446419587200519
0.001,68.0,0.019275641675966317,0.001384858895296161,0.004159480572182205,0.0006482493177787331
0.001,70.0,0.015507804581390635,0.001243972395165062,0.0035475369957429555,0.0005985786239466743
0.001,72.0,0.016458396830234683,0.0012824085051632045,0.0023366859697246775,0.00048666311796711245
0.001,74.0,0.01439432336543335,0.0011992194969874612,0.002838317283324886,0.0005356297824943914
0.001,76.0,0.011683429848623387,0.0010831022885530383,0.0015239256324291375,0.00039317597803004763
0.001,78.0,0.00852359208523592,0.0009260281881761735,0.0023338406900050737,0.0004860712228180418
0.001,80.0,0.007300750354897587,0.0008572551381279616,0.0024335834516325287,0.0004961483286121548
0.001,82.0,0.006397887681527369,0.0008034754098969816,0.003148166954402356,0.0005645367450319536
0.001,84.0,0.004666260904848854,0.0006863955588871221,0.002130249543517955,0.0004643631647238102
0.001,86.0,0.005977710233029382,0.0007759020774421599,0.0013171225937183384,0.00036506342619611193
0.001,88.0,0.004468365999796892,0.0006721248192338355,0.0013201990453945364,0.00036591555466062
0.001,90.0,0.004263093788063338,0.0006564060030083324,0.0008120178643930166,0.0002869750837242402
0.001,92.0,0.0034482758620689655,0.00059035393994323,0.0013184584178498986,0.0003654334286791185
0.001,94.0,0.003755201461483812,0.0006161910878624722,0.0013193951080889069,0.00036569287699371407
0.001,96.0,0.0036503751774487935,0.0006072844110987561,0.0009125937943621984,0.0003040590951993086
0.001,98.0,0.002337160857636419,0.0004867619073342309,0.00101615689462453,0.0003211737187964922
0.001,100.0,0.0030463038180341185,0.0005553286520314747,0.000710804224207961,0.00026856324515717156
0.001,102.0,0.0007111652951335975,0.00026869962008391717,0.0005079752108097125,0.00022711571388868196
0.001,104.0,0.0020290149132596125,0.0004532410100406297,0.000811605965303845,0.0002868295736634962
0.001,106.0,0.002533954996959254,0.0005061484993244576,0.0003040745996351105,0.00017553085862755235
0.001,108.0,0.0015214524799675425,0.00039253838570233666,0.00010143016533116949,0.00010142502116150313
0.001,110.0,0.00202757502027575,0.00045291969372863983,0.0008110300081103001,0.000286626107305168
0.001,112.0,0.00213089802130898,0.00046450437244166916,0.0004058853373921867,0.00020290147878929688
0.001,114.0,0.0018274111675126903,0.0004303312071078715,0.00030456852791878173,0.00017581594146191752
0.001,116.0,0.0012183978068839476,0.00035150681744705944,0.0004061326022946492,0.00020302506103699936
0.001,118.0,0.0013196629783778296,0.00036576707276318255,0.00040605014719317836,0.00020298385023096696
0.001,120.0,0.0011186819892199736,0.00033710659483702853,0.0,0.0
0.001,122.0,0.0013187259078920673,0.0003655075191959153,0.00010144045445323595,0.00010143530923984961
0.001,124.0,0.0004070418235473695,0.00020347948679630193,0.00020352091177368474,0.00014389637163257315
0.001,126.0,0.00030413625304136254,0.00017556644341219535,0.00030413625304136254,0.00017556644341219535
0.001,128.0,0.0005078720162519045,0.00022706958732459436,0.00020314880650076182,0.00014363330697594843
0.001,130.0,0.0006090133982947625,0.0002485529580946778,0.00020300446609825416,0.00014353126362694427
0.001,132.0,0.0005070993914807302,0.00022672423440676042,0.00030425963488843813,0.0001756376562829437
0.001,134.0,0.00020343810395687112,0.00014383782957921097,0.00020343810395687112,0.00014383782957921097
0.001,136.0,0.0007118161480577588,0.0002689454442934765,0.0002033760423022168,0.00014379395428939433
0.001,138.0,0.0002033760423022168,0.00014379395428939433,0.0006101281269066504,0.0002490077666742236
0.001,140.0,0.00030525030525030525,0.00017620944575431048,0.00030525030525030525,0.00017620944575431048
0.001,142.0,0.00030521924916064705,0.00017619152098614628,0.00020347949944043138,0.00014386709465044438
0.001,144.0,0.0005088540606554041,0.0002275085476259335,0.0003053124363932424,0.00017624530623427644
0.001,146.0,0.0001017293997965412,0.00010172422522954497,0.0006103763987792472,0.00024910906137454625
0.001,148.0,0.0002031694433157253,0.0001436478964429397,0.00010158472165786265,0.00010157956179898147
0.001,150.0,0.0003053435114503817,0.00017626324194830556,0.00010178117048346055,0.00010177599064832229
0.001,152.0,0.00020376974019358125,0.0001440722840618558,0.0,0.0
0.001,154.0,0.00010184336490477646,0.00010183817873724134,0.00010184336490477646,0.00010183817873724134
0.001,156.0,0.00030556121409655736,0.0001763888942327642,0.00010185373803218578,0.00010184855080812232
0.001,158.0,0.0004070832485243232,0.00020350019085221333,0.0003053124363932424,0.00017624530623427644
0.001,160.0,0.00020339672531272246,0.00014380857641160575,0.00010169836265636123,0.0001016931912463934
0.001,162.0,0.00040720757406087753,0.00020356232830733936,0.00010180189351521938,0.00010179671157057144
0.001,164.0,0.00030456852791878173,0.00017581594146191752,0.0,0.0
0.001,166.0,0.0,0.0,0.00010187449062754686,0.00010186930128945788
0.001,168.0,0.0,0.0,0.00010185373803218578,0.00010184855080812232
0.001,170.0,0.00010178117048346055,0.00010177599064832229,0.00010178117048346055,0.00010177599064832229
0.001,172.0,0.0003053745928338762,0.0001762811813131844,0.00010179153094462541,0.00010178635005489336
0.001,174.0,0.0002039775624681285,0.00014421920663942815,0.00010198878123406426,0.00010198358024570145
0.001,176.0,0.0,0.0,0.0,0.0
0.001,178.0,0.00010194719135487817,0.00010194199460751376,0.0,0.0
0.001,180.0,0.00010186411327289395,0.00010185892499197924,0.00010186411327289395,0.00010185892499197924
0.001,182.0,0.0,0.0,0.0,0.0
0.001,184.0,0.00010194719135487817,0.00010194199460751376,0.0,0.0
0.001,186.0,0.0,0.0,0.0,0.0
0.001,188.0,0.00010194719135487817,0.00010194199460751376,0.0,0.0
0.001,190.0,0.00010200958890135672,0.00010200438579054763,0.0,0.0
0.001,192.0,0.0,0.0,0.0,0.0
0.001,194.0,0.0001020512297173181,0.00010204602235771695,0.0,0.0
0.001,196.0,0.0,0.0,0.0,0.0
0.001,198.0,0.0,0.0,0.0,0.0
0.001,200.0,0.00010222858311183807,0.0001022233576366839,0.0,0.0
0.001,202.0,0.00010232272587741738,0.00010231749077338094,0.0,0.0
0.001,204.0,0.0,0.0,0.0,0.0
0.001,206.0,0.00020437359493153485,0.0001444991866987288,0.0,0.0
0.001,208.0,0.0002052334530528476,0.00014510707367470295,0.0,0.0
0.001,210.0,0.0,0.0,0.0,0.0
0.001,212.0,0.0,0.0,0.00010235414534288638,0.00010234890702330758
0.001,214.0,0.00010255358424776946,0.00010254832549411896,0.0,0.0
0.001,216.0,0.0,0.0,0.0,0.0
0.001,218.0,0.0,0.0,0.0,0.0
0.001,220.0,0.0,0.0,0.0,0.0
0.001,222.0,0.0,0.0,0.0,0.0
0.001,224.0,0.0,0.0,0.0,0.0
0.001,226.0,0.0,0.0,0.0,0.0
0.001,228.0,0.00010233319688907081,0.00010232796071351597,0.0,0.0
0.001,230.0,0.0,0.0,0.0,0.0
0.005,0.0,0.07831689148379303,0.003812162938252925,0.021542178377290114,0.0020600074143609028
0.005,3.4,0.07681479991956565,0.0037762230513380987,0.020108586366378443,0.001990538201779025
0.005,6.8,0.06329369078814755,0.003456983603791034,0.017335214674460794,0.0018530310436988752
0.005,10.2,0.05327704061117813,0.003184407299671265,0.013067953357458785,0.001610254505436036
0.005,13.6,0.04746580852775543,0.0030155405193106866,0.01327433628318584,0.0016230767614804395
0.005,17.0,0.04084507042253521,0.0028076050300874776,0.014084507042253521,0.0016715234622448638
0.005,20.4,0.04962829013461925,0.0030784179725583077,0.012055455093429777,0.0015469428454706782
0.005,23.8,0.03705195328231978,0.0026804247819583976,0.009665726943213854,0.0013883686804324331
0.005,27.2,0.04020908725371934,0.002785463896482087,0.009650180940892641,0.0013861465584866842
0.005,30.6,0.04494155582426441,0.002941105788927084,0.008464328899637243,0.0013005350366998962
0.005,34.0,0.04508856682769726,0.002943906202597894,0.004428341384863124,0.0009420327809342502
0.005,37.4,0.03678391959798995,0.002668666610649161,0.0052261306532663315,0.001022246831865258
0.005,40.8,0.03280998389694042,0.0025273658760977267,0.00785024154589372,0.0012521009118883748
0.005,44.2,0.025934861278648975,0.0022536323826625776,0.004624045034177724,0.000961948251947543
0.005,47.6,0.02094662638469285,0.002032359823139983,0.004229607250755287,0.000921021989524814
0.005,51.0,0.015458743224252159,0.00174801751832307,0.0034129692832764505,0.0008263528599674855
0.005,54.4,0.011260808365171928,0.0014962922578291627,0.001407601045646491,0.0005316486173698319
0.005,57.8,0.007659746018947792,0.0012378068326126372,0.0018141503729086877,0.0006041680183716555
0.005,61.2,0.004228755537656061,0.0009208369177709176,0.0024164317358034634,0.0006967204392098309
0.005,64.6,0.004423889000603257,0.0009410877379113674,0.003217373818620551,0.0008030484754218132
0.005,68.0,0.0022150624244865083,0.0006671263569264429,0.0012082158679017317,0.0004929539950380558
0.005,71.4,0.001006036217303823,0.0004496867025713303,0.0012072434607645875,0.0004925574911528096
0.005,74.8,0.0012104095218882388,0.000493848467029762,0.0008069396812588259,0.0004033070198638523
0.005,78.2,0.002613590671491757,0.0007239317400923639,0.0008041817450743868,0.00040192916294990236
0.005,81.6,0.001610305958132045,0.0005688705496553209,0.00040257648953301127,0.00028460726029625935
0.005,85.0,0.0018126888217522659,0.000603681718722866,0.0002014098690835851,0.00020138958509450264
0.005,88.4,0.0010109179134654266,0.00045186766096302303,0.0,0.0
0.005,91.8,0.0010054293183189222,0.0004494155621666346,0.0004021717273275689,0.0002843211653769386
0.005,95.2,0.00020120724346076458,0.0002011870002650334,0.0,0.0
0.005,98.6,0.000201450443190975,0.00020143015102842634,0.00040290088638195,0.0002848365511124899
0.005,102.0,0.00020080321285140563,0.00020078305087406161,0.0,0.0
0.005,105.4,0.0,0.0,0.0,0.0
0.005,108.8,0.0006044731009470078,0.0003488872132530466,0.00020149103364900262,0.00020147073330804645
0.005,112.2,0.0,0.0,0.0,0.0
0.005,115.6,0.00020120724346076458,0.0002011870002650334,0.00040241448692152917,0.00028449275326519557
0.005,119.0,0.0004024954719259408,0.00028454999526090753,0.0,0.0
0.005,122.4,0.00020161290322580645,0.00020159257831994042,0.00020161290322580645,0.00020159257831994042
0.005,125.8,0.0,0.0,0.00020132876988121604,0.00020130850222425814
0.005,129.2,0.00020120724346076458,0.0002011870002650334,0.00020120724346076458,0.0002011870002650334
0.005,132.6,0.0,0.0,0.0,0.0
0.005,136.0,0.0,0.0,0.0,0.0
0.005,139.4,0.0,0.0,0.0,0.0
0.005,142.8,0.0,0.0,0.0,0.0
0.005,146.2,0.0,0.0,0.0,0.0
0.005,149.6,0.0,0.0,0.0,0.0
0.005,153.0,0.00040330711837063924,0.0002851236846975384,0.0,0.0
0.005,156.4,0.00020157226365652087,0.00020155194694391,0.0,0.0
0.005,159.8,0.000201450443190975,0.00020143015102842634,0.0,0.0
0.005,163.2,0.0,0.0,0.0,0.0
0.005,166.6,0.0,0.0,0.0002021018593371059,0.00020208143572436745
0.005,170.0,0.0,0.0,0.0,0.0
