e,b,n12,n23,n31,nd,nc,rej,time
200.0,27.0,0,0,1,29999,0,0,97.61807441711426
200.0,26.0,0,1,0,29998,0,1,112.33546423912048
200.0,17.0,40,5,10,29945,0,0,441.70842576026917
200.0,28.0,1,0,0,29999,0,0,123.82567524909973
200.0,29.0,0,0,0,30000,0,0,90.59373116493225
200.0,16.0,63,27,11,29899,0,0,512.7355852127075
200.0,31.0,0,0,0,30000,0,0,85.07292318344116
200.0,30.0,0,0,1,29999,0,0,88.45697212219238
200.0,32.0,0,0,0,30000,0,0,83.3978807926178
200.0,33.0,0,0,0,30000,0,0,81.50030827522278
200.0,34.0,0,0,0,29999,0,1,79.68448376655579
200.0,36.0,0,0,0,29999,0,1,75.90623307228088
200.0,35.0,0,0,0,30000,0,0,78.29568123817444
200.0,37.0,0,0,0,30000,0,0,74.72740912437439
200.0,39.0,0,0,0,30000,0,0,72.93120431900024
200.0,38.0,0,0,0,30000,0,0,73.91412210464478
200.0,40.0,0,0,0,30000,0,0,70.5178108215332
200.0,41.0,0,1,0,29999,0,0,69.2340567111969
200.0,43.0,0,0,0,30000,0,0,68.06304597854614
200.0,42.0,0,0,0,30000,0,0,68.34232687950134
200.0,45.0,0,0,0,30000,0,0,64.99224472045898
200.0,44.0,0,0,0,30000,0,0,65.79693508148193
200.0,47.0,0,0,0,30000,0,0,62.93048405647278
200.0,46.0,0,0,0,30000,0,0,64.13489985466003
200.0,48.0,0,0,0,30000,0,0,62.5204815864563
200.0,49.0,0,0,0,30000,0,0,60.71093440055847
200.0,50.0,0,0,0,30000,0,0,60.73571848869324
300.0,6.0,127,62,70,29741,0,0,630.815178155899
300.0,5.0,143,83,72,29702,0,0,648.3403806686401
300.0,4.0,172,93,71,29664,0,0,689.2810244560242
300.0,2.0,168,120,132,29580,0,0,724.875084400177
300.0,3.0,188,73,93,29646,0,0,745.5498421192169
300.0,7.0,118,68,68,29746,0,0,754.7089745998383
300.0,1.0,183,174,188,29455,0,0,766.345294713974
300.0,0.0,212,167,144,29477,0,0,827.8425035476685
300.0,15.0,60,13,11,29916,0,0,435.28356552124023
300.0,8.0,115,56,70,29759,0,0,677.9236540794373
300.0,14.0,71,20,13,29895,0,1,545.8701975345612
300.0,9.0,104,36,43,29817,0,0,716.5434539318085
300.0,10.0,115,38,25,29822,0,0,693.9114227294922
300.0,12.0,71,24,33,29872,0,0,655.8670089244843
300.0,11.0,106,37,36,29821,0,0,690.786182641983
300.0,13.0,68,27,39,29866,0,0,708.3152163028717
300.0,19.0,2,5,2,29991,0,0,159.13338804244995
300.0,23.0,1,0,0,29999,0,0,102.80341362953186
300.0,17.0,21,5,8,29966,0,0,285.98254227638245
300.0,22.0,3,0,0,29997,0,0,180.2693817615509
300.0,21.0,1,0,0,29999,0,0,206.91330885887146
300.0,20.0,5,2,0,29993,0,0,235.8654706478119
300.0,18.0,9,6,2,29982,0,1,305.4372298717499
300.0,24.0,1,0,1,29998,0,0,101.3288083076477
300.0,25.0,0,0,1,29999,0,0,93.49755501747131
300.0,16.0,36,8,11,29945,0,0,390.8553056716919
300.0,27.0,0,0,0,30000,0,0,89.08538174629211
300.0,26.0,0,0,0,30000,0,0,91.55215501785278
300.0,28.0,0,0,0,30000,0,0,86.44682264328003
300.0,30.0,0,0,0,30000,0,0,81.23976755142212
300.0,31.0,0,0,0,30000,0,0,79.24460005760193
300.0,29.0,0,0,0,29999,0,1,97.76633882522583
300.0,33.0,0,0,0,30000,0,0,74.9620566368103
300.0,32.0,0,0,0,30000,0,0,77.55713748931885
300.0,34.0,0,0,0,30000,0,0,73.54706597328186
300.0,36.0,0,0,0,30000,0,0,71.17961502075195
300.0,35.0,0,0,0,30000,0,0,71.99445867538452
300.0,37.0,0,0,0,29999,0,1,69.24024534225464
300.0,39.0,0,0,0,30000,0,0,67.80885934829712
300.0,38.0,0,0,0,30000,0,0,68.50850558280945
300.0,41.0,0,0,1,29999,0,0,65.68766784667969
300.0,40.0,0,0,0,30000,0,0,66.07156133651733
300.0,44.0,0,0,0,30000,0,0,62.01013398170471
300.0,43.0,0,0,0,30000,0,0,62.38559341430664
300.0,42.0,0,0,0,30000,0,0,63.76902198791504
300.0,45.0,0,0,0,30000,0,0,59.88359093666077
300.0,47.0,0,0,0,30000,0,0,59.68348813056946
300.0,46.0,0,0,0,30000,0,0,59.7935996055603
300.0,48.0,0,0,0,30000,0,0,58.09736943244934
300.0,49.0,0,0,0,30000,0,0,57.441606521606445
300.0,50.0,0,0,0,30000,0,0,55.70069670677185
500.0,4.2,108,50,33,29809,0,0,425.6562385559082
500.0,2.8,99,47,47,29807,0,0,442.2245469093323
500.0,3.5,144,50,39,29767,0,0,459.6088306903839
500.0,0.0,146,78,96,29680,0,0,477.72355556488037
500.0,0.7,134,82,83,29701,0,0,480.6565079689026
500.0,4.9,117,35,36,29812,0,0,481.40910291671753
500.0,2.1,132,48,64,29756,0,0,482.71218705177307
500.0,1.4,126,66,75,29733,0,0,489.2233898639679
500.0,5.6,101,20,42,29837,0,0,465.78454518318176
500.0,7.0,83,39,21,29857,0,0,491.2573940753937
500.0,6.3,96,34,40,29830,0,0,512.6444091796875
500.0,7.7,80,19,18,29883,0,0,498.4916844367981
500.0,8.4,79,9,13,29899,0,0,520.0861124992371
500.0,10.5,86,11,13,29889,0,1,608.5137362480164
500.0,9.8,83,16,7,29894,0,0,709.1278326511383
500.0,9.1,85,13,8,29893,0,1,743.851466178894
500.0,13.3,45,1,2,29952,0,0,392.68416810035706
500.0,14.0,49,7,2,29942,0,0,414.39391803741455
500.0,12.6,48,4,11,29937,0,0,488.42817783355713
500.0,11.2,74,13,18,29895,0,0,555.3441047668457
500.0,14.7,32,3,4,29961,0,0,387.6480486392975
500.0,15.4,26,4,4,29966,0,0,334.40780758857727
500.0,16.1,13,1,2,29984,0,0,332.06077551841736
500.0,11.9,44,9,14,29933,0,0,610.4621033668518
500.0,16.8,9,1,1,29989,0,0,191.6650071144104
500.0,18.2,1,1,2,29996,0,0,128.97692942619324
500.0,17.5,2,1,2,29995,0,0,170.02824354171753
500.0,18.9,1,1,0,29998,0,0,132.0483479499817
500.0,20.3,0,0,0,30000,0,0,100.78080010414124
500.0,21.0,0,0,0,30000,0,0,98.17794847488403
500.0,21.7,0,0,0,30000,0,0,95.28893446922302
500.0,22.4,0,0,0,30000,0,0,93.05949902534485
500.0,23.1,0,0,0,30000,0,0,90.70225071907043
500.0,24.5,0,0,0,30000,0,0,86.66579961776733
500.0,23.8,0,0,0,30000,0,0,89.43621230125427
500.0,19.6,0,1,0,29999,0,0,214.35672116279602
500.0,25.2,0,0,0,30000,0,0,85.0837652683258
500.0,27.3,0,0,0,30000,0,0,78.60257172584534
500.0,26.6,0,0,0,30000,0,0,81.27949285507202
500.0,28.0,0,0,0,30000,0,0,77.80774998664856
500.0,25.9,0,0,0,30000,0,0,82.58649778366089
500.0,29.4,0,0,0,30000,0,0,75.74096345901489
500.0,28.7,0,0,0,30000,0,0,76.3357105255127
500.0,30.1,0,0,0,30000,0,0,74.10142493247986
500.0,30.8,0,0,0,30000,0,0,72.98019218444824
500.0,33.6,0,0,0,29999,0,1,67.7902889251709
500.0,32.9,0,0,0,30000,0,0,69.5212631225586
500.0,32.2,0,0,0,30000,0,0,69.81432318687439
500.0,31.5,0,0,0,30000,0,0,71.98210716247559
500.0,35.0,0,0,0,30000,0,0,66.17792868614197
500.0,34.3,0,0,0,30000,0,0,67.52995133399963
1000.0,1.0,43,29,23,29905,0,0,223.88664484024048
1000.0,0.0,43,31,22,29904,0,0,233.42520713806152
1000.0,1.5,53,24,26,29897,0,0,233.50512742996216
1000.0,3.5,52,16,14,29918,0,0,247.1704502105713
1000.0,0.5,59,30,33,29878,0,0,252.65559220314026
1000.0,2.5,51,16,17,29916,0,0,254.08878207206726
1000.0,3.0,52,14,14,29920,0,0,258.7938711643219
1000.0,2.0,44,26,20,29910,0,0,258.5679910182953
1000.0,4.5,32,12,11,29945,0,0,272.74474835395813
1000.0,4.0,40,10,12,29938,0,0,289.82108330726624
1000.0,6.0,38,16,16,29929,0,1,336.25465965270996
1000.0,5.0,52,14,15,29919,0,0,348.2276225090027
1000.0,6.5,37,11,14,29938,0,0,340.6220338344574
1000.0,5.5,34,12,23,29931,0,0,403.13351488113403
1000.0,7.0,30,4,6,29960,0,0,413.2035961151123
1000.0,7.5,51,6,8,29935,0,0,469.3075850009918
1000.0,8.0,35,1,4,29960,0,0,428.0506992340088
1000.0,8.5,29,4,11,29956,0,0,451.1344540119171
1000.0,10.0,32,1,3,29964,0,0,385.0492298603058
1000.0,9.5,47,4,6,29943,0,0,496.76763558387756
1000.0,10.5,44,8,5,29943,0,0,437.45969104766846
1000.0,9.0,63,3,6,29928,0,0,531.909895658493
1000.0,11.0,25,3,3,29969,0,0,459.4093701839447
1000.0,11.5,14,3,1,29982,0,0,458.1017005443573
1000.0,12.0,10,0,0,29990,0,0,278.66530585289
1000.0,15.5,1,0,0,29999,0,0,110.4943859577179
1000.0,12.5,11,0,2,29987,0,0,334.8802418708801
1000.0,15.0,1,0,0,29999,0,0,181.10381031036377
1000.0,13.5,3,0,0,29997,0,0,246.4694573879242
1000.0,16.0,0,0,1,29999,0,0,106.70745015144348
1000.0,17.0,0,0,0,30000,0,0,102.27088379859924
1000.0,14.5,0,0,0,30000,0,0,283.1873428821564
1000.0,17.5,0,0,0,30000,0,0,99.94566011428833
1000.0,14.0,2,0,0,29998,0,0,328.4925208091736
1000.0,13.0,8,1,0,29991,0,0,450.4170563220978
1000.0,18.5,0,0,0,30000,0,0,95.31284403800964
1000.0,18.0,0,0,0,30000,0,0,96.86254811286926
1000.0,20.0,0,0,0,30000,0,0,87.9758448600769
1000.0,19.5,0,0,0,30000,0,0,91.06306457519531
1000.0,19.0,0,0,0,30000,0,0,93.43847727775574
1000.0,16.5,0,0,0,30000,0,0,248.98767971992493
1500.0,1.5,16,18,10,29956,0,0,184.78360748291016
1500.0,1.0,24,22,16,29938,0,0,191.1641402244568
